# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../../00_genome/genomic.gff" "-o" "../../HVO_counts/2019_counts2.txt" "dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam" "dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam" "HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam	dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam	HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam
HVO_RS08825	NC_013967.1	777003	778211	+	1209	12267	26108	27515	29937	13	1778	40170	8183	4099	4673
HVO_RS08830	NC_013967.1	778355	778846	+	492	2490	2313	2365	2672	0	93	1517	2354	543	335
HVO_RS08835	NC_013967.1	778851	779303	+	453	3402	3443	3614	3842	1	145	2484	3131	549	539
HVO_RS08840	NC_013967.1	779373	780371	-	999	120	190	200	215	0	18	166	88	16	24
HVO_RS08845	NC_013967.1	781200	781303	+	104	75	69	61	207	0	12	332	56	20	18
HVO_RS08850	NC_013967.1	781408	782166	+	759	4269	4035	4291	5212	3	183	2596	4127	1241	406
HVO_RS08855	NC_013967.1	782201	782935	-	735	2288	2684	2646	3091	0	118	1688	2307	793	236
HVO_RS08860	NC_013967.1	783131	783823	+	693	1069	1225	1192	1291	1	61	787	652	201	123
HVO_RS08865	NC_013967.1	783867	784856	-	990	1457	1145	1309	1580	5	130	1483	1340	282	179
HVO_RS08870	NC_013967.1	784965	789500	-	4536	11544	2152	2228	2037	3	309	5293	39037	1463	315
HVO_RS08875	NC_013967.1	789658	791124	-	1467	2496	4492	4638	3449	1	218	5516	1144	766	808
HVO_RS08880	NC_013967.1	791288	791674	+	387	260	168	188	246	0	10	162	660	150	22
HVO_RS08885	NC_013967.1	791827	792306	-	480	190	136	150	168	0	14	199	319	70	10
HVO_RS08890	NC_013967.1	792555	794477	+	1923	3259	5090	5465	6589	9	295	7457	2015	580	1381
HVO_RS08895	NC_013967.1	794549	794959	+	411	88	107	105	126	1	6	130	132	24	17
HVO_RS08900	NC_013967.1	795023	795406	+	384	1735	1797	1884	1747	2	112	2141	2787	322	282
HVO_RS08905	NC_013967.1	795543	795974	+	432	274	246	326	277	0	18	408	259	92	22
HVO_RS08910	NC_013967.1	795975	796781	-	807	712	511	603	571	0	45	905	765	229	88
HVO_RS08915	NC_013967.1	796851	797276	-	426	341	464	454	530	0	45	898	322	92	60
HVO_RS08920	NC_013967.1	797576	798499	+	924	50281	50427	53783	69121	37	2364	79518	32916	13224	10801
HVO_RS08925	NC_013967.1	798590	799591	+	1002	2151	970	1013	1106	2	114	1735	2008	472	138
HVO_RS08930	NC_013967.1	799635	800771	+	1137	3421	1906	1906	2079	6	168	2355	4279	515	203
HVO_RS08935	NC_013967.1	800808	800999	-	192	792	487	482	580	0	75	592	1720	122	114
HVO_RS08940	NC_013967.1	801088	801870	-	783	1525	958	1061	1082	3	134	1370	1151	282	207
HVO_RS08945	NC_013967.1	802107	802304	+	198	59	149	182	293	0	1	108	94	25	10
HVO_RS08950	NC_013967.1	802517	803380	-	864	17694	21052	22382	28313	7	625	15569	17301	2297	1791
HVO_RS08955	NC_013967.1	803377	805137	-	1761	24327	28814	30452	41889	6	848	21380	21193	3975	2325
HVO_RS08960	NC_013967.1	805444	806088	+	645	1630	1721	1866	2469	2	199	3237	1630	598	249
HVO_RS08965	NC_013967.1	806141	806962	-	822	1993	1062	1106	1339	0	110	1451	1195	352	94
HVO_RS08970	NC_013967.1	806959	807810	-	852	2556	1240	1261	1512	1	108	1786	1490	419	153
HVO_RS08975	NC_013967.1	807803	809728	-	1926	6313	2464	2539	2724	1	179	3247	3190	734	375
HVO_RS08980	NC_013967.1	809951	811651	+	1701	12364	4942	5273	9992	2	47	739	1975	1723	175
HVO_RS08985	NC_013967.1	811838	813826	+	1989	47603	10096	10805	27053	10	46	1744	4189	7972	373
HVO_RS08990	NC_013967.1	813856	814101	-	246	1037	148	154	362	0	2	447	117	127	56
HVO_RS08995	NC_013967.1	814278	815900	+	1623	2713	1300	1420	2759	0	5	272	927	699	67
HVO_RS09000	NC_013967.1	815984	816592	-	609	348	272	296	501	0	6	153	127	133	25
HVO_RS09005	NC_013967.1	817154	818482	+	1329	3516	165	205	378	1	8	151	503	174	22
HVO_RS09010	NC_013967.1	818606	819574	+	969	1264	182	188	569	0	0	51	203	148	4
HVO_RS09015	NC_013967.1	819571	820752	+	1182	1749	240	287	693	0	4	65	344	207	4
HVO_RS09020	NC_013967.1	820749	821507	+	759	1486	195	203	531	1	0	73	247	149	17
HVO_RS09025	NC_013967.1	821504	822247	+	744	1461	175	208	525	0	7	82	220	125	11
HVO_RS09030	NC_013967.1	822250	822930	+	681	1553	234	250	699	1	17	115	238	274	19
HVO_RS09035	NC_013967.1	822927	823331	-	405	883	271	323	735	0	27	227	329	150	28
HVO_RS09040	NC_013967.1	823386	823640	-	255	565	495	516	638	3	46	741	487	99	63
HVO_RS09045	NC_013967.1	824054	825817	-	1764	26177	25340	26828	32083	18	1484	32903	9731	4460	4316
HVO_RS09050	NC_013967.1	825916	826275	-	360	2978	4276	4484	5361	3	308	7268	2669	801	698
HVO_RS09055	NC_013967.1	826378	826743	-	366	423	564	634	682	0	53	973	621	111	81
HVO_RS09060	NC_013967.1	826789	826992	-	204	79	155	172	210	0	8	226	95	21	18
HVO_RS09065	NC_013967.1	827150	828259	+	1110	2641	4081	4384	3722	0	305	5754	2311	348	782
HVO_RS09070	NC_013967.1	828256	828747	+	492	543	1016	1035	884	1	70	1392	468	113	147
HVO_RS09075	NC_013967.1	828791	830233	-	1443	703	1113	1234	1336	2	119	1658	441	177	175
HVO_RS09080	NC_013967.1	830369	831148	+	780	4696	4772	5026	5240	4	449	7906	6228	1023	881
HVO_RS09085	NC_013967.1	831303	832214	+	912	2246	2032	2239	2218	2	198	3252	1851	232	360
HVO_RS09090	NC_013967.1	832235	833044	-	810	781	980	918	1149	2	77	1674	637	216	141
HVO_RS09095	NC_013967.1	833161	833736	+	576	243	137	138	256	1	7	78	464	95	13
HVO_RS09100	NC_013967.1	833824	834033	+	210	258	239	271	433	0	20	551	565	135	32
HVO_RS09105	NC_013967.1	834343	834786	+	444	490	582	601	440	2	19	865	803	168	94
HVO_RS09110	NC_013967.1	834841	835320	-	480	369	325	309	260	0	26	366	417	82	52
HVO_RS09120	NC_013967.1	836669	838021	+	1353	224	329	299	396	0	18	267	184	36	47
HVO_RS09125	NC_013967.1	838421	838684	+	264	21	23	20	42	0	3	35	27	1	8
HVO_RS09130	NC_013967.1	838824	839990	-	1167	517	434	436	582	0	30	571	559	77	75
HVO_RS09140	NC_013967.1	840913	840985	-	73	45	61	59	101	0	2	164	60	12	11
HVO_RS09145	NC_013967.1	841078	842064	-	987	548	916	1020	990	2	110	1569	908	193	165
HVO_RS09150	NC_013967.1	842405	842875	-	471	725	331	350	615	1	30	361	889	346	53
HVO_RS09155	NC_013967.1	843073	843501	+	429	650	188	223	311	1	11	169	429	114	19
HVO_RS09160	NC_013967.1	843545	843985	-	441	933	222	197	378	0	16	124	339	187	13
HVO_RS09165	NC_013967.1	844064	844780	+	717	1139	694	663	923	0	32	676	1281	325	69
HVO_RS09170	NC_013967.1	844755	847604	-	2850	3916	1961	1909	2743	2	111	1728	3483	1030	206
HVO_RS09175	NC_013967.1	847700	849742	+	2043	1360	477	512	733	0	29	390	1389	258	43
HVO_RS09180	NC_013967.1	849735	850499	+	765	800	459	519	569	2	35	476	640	223	46
HVO_RS09185	NC_013967.1	850537	850977	-	441	661	357	413	548	0	23	469	625	143	41
HVO_RS09190	NC_013967.1	851051	851527	-	477	827	832	882	1134	2	68	1003	781	261	71
HVO_RS09195	NC_013967.1	851558	851878	-	321	757	656	694	991	0	42	821	527	224	98
HVO_RS09200	NC_013967.1	851945	854425	-	2481	7981	5429	5940	10698	7	322	11589	8669	4116	851
HVO_RS09205	NC_013967.1	854428	855222	-	795	4195	2224	2290	4156	4	115	4231	4513	1419	342
HVO_RS09210	NC_013967.1	855224	855442	-	219	685	361	346	893	0	14	1071	1119	205	126
HVO_RS09215	NC_013967.1	855608	855835	+	228	655	712	706	1630	1	6	1273	1057	348	122
HVO_RS09220	NC_013967.1	855836	856375	+	540	3553	3727	4012	7663	2	58	4319	4470	1265	800
HVO_RS09225	NC_013967.1	856375	858144	+	1770	9135	8834	9298	16443	9	172	10445	7231	2470	1363
HVO_RS09230	NC_013967.1	858141	858335	+	195	915	842	900	1524	1	18	1143	406	305	85
HVO_RS09235	NC_013967.1	858517	858738	+	222	1021	854	870	2263	4	42	1412	2742	587	96
HVO_RS09240	NC_013967.1	858873	859304	+	432	273	246	298	431	1	20	210	573	134	37
HVO_RS09245	NC_013967.1	859328	859729	-	402	323	309	334	485	0	36	245	539	163	30
HVO_RS09250	NC_013967.1	859880	860539	+	660	517	2206	2201	1303	1	149	3786	4086	960	279
HVO_RS09255	NC_013967.1	860652	861665	-	1014	481	303	308	421	1	9	239	221	43	59
HVO_RS09260	NC_013967.1	861842	862537	-	696	1179	921	974	941	1	43	879	1586	286	114
HVO_RS09265	NC_013967.1	862560	864398	-	1839	4050	2872	3055	2626	1	141	2855	6753	780	337
HVO_RS09270	NC_013967.1	864395	864859	-	465	1040	677	722	638	1	20	666	2118	184	73
HVO_RS09275	NC_013967.1	864943	865719	-	777	327	147	153	230	0	16	220	291	62	14
HVO_RS09280	NC_013967.1	865710	866747	-	1038	648	200	166	197	1	15	258	335	91	25
HVO_RS21400	NC_013967.1	866744	866869	-	126	26	14	14	16	0	0	22	24	3	3
HVO_RS09285	NC_013967.1	866976	867422	-	447	555	482	471	496	0	27	986	467	172	57
HVO_RS09290	NC_013967.1	867536	868222	-	687	213	165	168	171	0	10	137	299	81	24
HVO_RS09295	NC_013967.1	868340	869185	+	846	2147	1615	1659	1851	1	115	1666	2067	389	206
HVO_RS09300	NC_013967.1	869187	869798	+	612	1295	1059	1121	1351	1	73	1131	1319	453	138
HVO_RS09305	NC_013967.1	869825	870199	+	375	1132	1464	1501	2067	0	87	2241	670	311	237
HVO_RS09310	NC_013967.1	870199	870492	+	294	1176	1751	1924	2006	0	91	2151	740	239	304
HVO_RS09315	NC_013967.1	870707	871132	+	426	187	327	374	402	1	18	422	223	65	37
HVO_RS09320	NC_013967.1	871193	872671	+	1479	1138	915	1028	1751	1	50	1163	2019	462	130
HVO_RS09325	NC_013967.1	872721	873692	+	972	1021	583	608	732	3	39	656	1354	218	86
HVO_RS09330	NC_013967.1	873723	874385	-	663	422	389	394	400	0	20	393	801	135	48
HVO_RS09335	NC_013967.1	874483	876177	+	1695	3510	709	723	787	0	30	560	2554	246	85
HVO_RS09340	NC_013967.1	876217	879165	-	2949	819	601	567	712	1	36	1057	912	311	92
HVO_RS09345	NC_013967.1	879448	880692	-	1245	5243	3079	3257	2535	2	125	1719	6214	672	338
HVO_RS09350	NC_013967.1	880821	882740	-	1920	3238	2400	2446	2614	1	133	2003	3578	1025	279
HVO_RS09355	NC_013967.1	882969	883490	-	522	22201	12233	12713	18356	5	652	11487	13269	3721	2046
HVO_RS09360	NC_013967.1	883706	884860	-	1155	8068	9485	10138	10910	7	683	15358	9295	2248	1712
HVO_RS09365	NC_013967.1	884857	885261	-	405	807	1071	1083	1347	0	71	2637	1409	389	152
HVO_RS09370	NC_013967.1	885369	887117	+	1749	2141	1577	1692	1882	0	178	2277	946	399	263
HVO_RS09375	NC_013967.1	887289	888434	+	1146	1373	7577	7558	7540	5	699	37129	493	568	1814
HVO_RS09380	NC_013967.1	888441	889052	+	612	606	4809	5197	4619	2	486	21040	248	160	1409
HVO_RS09385	NC_013967.1	889252	889668	+	417	4972	5627	6062	8168	3	269	7281	4821	1029	1123
HVO_RS09390	NC_013967.1	889665	890366	+	702	10414	12516	13011	14025	4	538	14259	7618	1641	1931
HVO_RS09395	NC_013967.1	890363	892036	+	1674	34535	39507	41007	46816	15	1522	41431	16658	7044	6306
HVO_RS09400	NC_013967.1	892036	893085	+	1050	12955	15454	16053	16961	4	529	16149	4021	2289	2061
HVO_RS09405	NC_013967.1	893082	893543	+	462	7641	7736	8399	10320	3	264	8312	1452	1355	1646
HVO_RS09410	NC_013967.1	893649	893909	+	261	1697	2208	2438	2510	1	98	2340	419	221	394
HVO_RS09415	NC_013967.1	893906	894274	+	369	3303	4112	4384	5705	4	139	4967	759	732	660
HVO_RS09420	NC_013967.1	894274	894576	+	303	2032	2505	2509	3359	0	57	2570	402	764	404
HVO_RS09425	NC_013967.1	894580	896616	+	2037	23521	27831	29728	34798	5	818	28857	3883	4281	4366
HVO_RS09430	NC_013967.1	896613	898142	+	1530	13367	16624	17618	18742	4	516	17197	1939	2079	2521
HVO_RS09435	NC_013967.1	898143	899663	+	1521	14670	16904	18028	21614	7	604	20508	2834	3048	2455
HVO_RS09440	NC_013967.1	899702	900082	-	381	553	375	403	514	0	17	246	833	124	33
HVO_RS09445	NC_013967.1	900172	901632	+	1461	3529	2357	2454	3003	2	180	3709	3035	829	366
HVO_RS09450	NC_013967.1	901676	902458	+	783	1911	1987	2141	2213	2	131	2286	2091	333	288
HVO_RS09455	NC_013967.1	902466	902693	-	228	262	271	261	340	0	18	350	242	58	28
HVO_RS20890	NC_013967.1	902724	902894	-	171	63	37	46	53	0	2	45	59	8	3
HVO_RS09460	NC_013967.1	902996	904309	+	1314	1267	965	1034	1105	1	54	1058	735	194	117
HVO_RS09465	NC_013967.1	904367	905404	-	1038	6735	2529	2574	2619	0	176	2584	5721	1222	284
HVO_RS09470	NC_013967.1	905599	906702	+	1104	1345	1187	1192	1244	2	74	1173	1328	227	151
HVO_RS09475	NC_013967.1	906798	907904	+	1107	2321	2042	2017	2609	2	144	2946	2188	510	279
HVO_RS09480	NC_013967.1	907962	908150	+	189	398	456	487	369	0	48	817	541	67	84
HVO_RS09485	NC_013967.1	908202	909338	-	1137	5790	6005	6314	3261	8	1039	22413	9035	1119	2156
HVO_RS09490	NC_013967.1	909365	911458	-	2094	6950	8690	9403	4104	9	1802	36732	16254	1162	4223
HVO_RS09495	NC_013967.1	911666	911926	+	261	97	62	76	58	0	4	120	124	13	14
HVO_RS09500	NC_013967.1	912137	912889	+	753	256	56	54	31	0	4	266	71	39	41
HVO_RS09505	NC_013967.1	913053	913850	+	798	206	217	238	338	0	21	469	747	90	22
HVO_RS09510	NC_013967.1	913947	914231	-	285	999	1326	1431	2087	0	124	2791	1375	346	199
HVO_RS09515	NC_013967.1	914365	915120	-	756	656	888	972	902	0	86	1451	487	100	147
HVO_RS09520	NC_013967.1	915117	916070	-	954	792	1025	1091	1318	0	93	1914	663	212	161
HVO_RS09525	NC_013967.1	916212	917606	+	1395	1498	965	995	1167	0	61	1109	2238	448	94
HVO_RS09530	NC_013967.1	917640	918638	-	999	954	529	558	685	0	15	454	1305	207	54
HVO_RS09535	NC_013967.1	918718	918969	+	252	13	27	48	27	0	2	41	31	6	1
HVO_RS09540	NC_013967.1	918994	920016	+	1023	3335	2883	3022	3414	1	234	3449	5985	780	408
HVO_RS09545	NC_013967.1	920072	920476	-	405	635	362	379	422	1	18	331	734	157	31
HVO_RS09550	NC_013967.1	920489	920722	-	234	155	133	135	162	0	6	187	197	33	16
HVO_RS09555	NC_013967.1	920789	921448	-	660	1320	924	1064	1042	1	90	1629	597	141	141
HVO_RS09560	NC_013967.1	921476	922882	-	1407	4910	4346	4551	5362	1	481	7211	3338	891	666
HVO_RS09565	NC_013967.1	923045	923803	+	759	7993	11130	12103	11344	8	893	15524	5584	914	2234
HVO_RS09570	NC_013967.1	923927	924355	-	429	1973	1270	1375	1445	0	113	1910	1535	249	219
HVO_RS09575	NC_013967.1	924352	924837	-	486	1772	1046	1020	1312	0	98	1788	1382	313	152
HVO_RS09580	NC_013967.1	924940	925794	+	855	671	613	592	625	0	41	917	873	149	99
HVO_RS09585	NC_013967.1	925901	927802	+	1902	5099	7048	7409	7565	5	539	10086	2193	566	1308
HVO_RS09590	NC_013967.1	927833	929494	-	1662	543	216	238	255	2	51	348	302	56	19
HVO_RS09595	NC_013967.1	929621	930880	-	1260	14229	12738	12916	15336	6	869	18785	10055	3047	1935
HVO_RS09600	NC_013967.1	930999	931763	+	765	414	419	502	508	0	30	506	371	100	66
HVO_RS09605	NC_013967.1	931827	932915	+	1089	1254	1060	1144	1277	0	82	1326	937	296	165
HVO_RS09610	NC_013967.1	933017	933832	+	816	1930	1233	1158	1361	1	95	1319	1918	637	161
HVO_RS09615	NC_013967.1	933893	934270	-	378	1959	2055	2155	1952	1	113	2883	2457	471	295
HVO_RS09620	NC_013967.1	934270	935421	-	1152	3701	3772	4045	4097	2	228	4998	4255	710	659
HVO_RS09625	NC_013967.1	935515	935928	+	414	416	481	546	677	0	59	763	561	118	97
HVO_RS19635	NC_013967.1	936051	936362	+	312	217464	158373	164927	391706	91	9838	318692	978426	126432	10937
HVO_RS09630	NC_013967.1	936539	936811	-	273	2175	1672	1714	1652	4	213	2152	808	790	396
HVO_RS09635	NC_013967.1	936980	937750	-	771	307	214	215	214	0	31	253	245	39	42
HVO_RS09640	NC_013967.1	937864	937934	-	71	183	133	119	420	0	13	403	243	29	15
HVO_RS09645	NC_013967.1	938112	939368	-	1257	800	949	988	1042	0	54	1018	1373	323	115
HVO_RS09650	NC_013967.1	939491	940519	-	1029	2885	2528	2710	3022	3	207	3494	4286	660	385
HVO_RS09655	NC_013967.1	940639	941292	-	654	347	325	294	356	0	19	482	376	95	35
HVO_RS09660	NC_013967.1	941377	943500	-	2124	3296	1511	1590	1669	0	107	2008	2759	544	228
HVO_RS09665	NC_013967.1	943502	945163	-	1662	4642	1901	1952	2009	0	122	1846	4152	469	323
HVO_RS09670	NC_013967.1	945296	945793	-	498	886	926	961	1173	1	36	1067	1111	335	106
HVO_RS09675	NC_013967.1	945888	946256	-	369	443	341	363	458	1	14	477	763	158	43
HVO_RS09680	NC_013967.1	946398	946871	+	474	3165	1934	1952	2287	2	149	2332	3458	608	326
HVO_RS09685	NC_013967.1	947001	947627	+	627	1149	1364	1506	1098	1	169	3159	3282	255	291
HVO_RS09690	NC_013967.1	948031	948606	-	576	1241	877	864	1285	6	152	834	1333	318	124
HVO_RS09695	NC_013967.1	948679	949818	-	1140	5312	4351	4384	5430	9	204	4142	6208	1828	448
HVO_RS09700	NC_013967.1	949985	950983	+	999	2057	1824	1997	2204	2	32	1072	928	412	140
HVO_RS09705	NC_013967.1	951010	951300	+	291	2016	2457	2683	3401	3	180	4883	2383	445	376
HVO_RS09710	NC_013967.1	951364	951924	-	561	634	367	374	390	0	33	339	1196	133	63
HVO_RS09715	NC_013967.1	952064	952876	-	813	1540	1185	1248	1402	0	133	1966	2133	224	192
HVO_RS20895	NC_013967.1	953067	953222	+	156	75	62	52	64	1	2	35	112	21	2
HVO_RS20900	NC_013967.1	953332	953499	+	168	1108	1328	1337	1624	0	83	2435	1209	240	287
HVO_RS09720	NC_013967.1	953595	954566	+	972	733	1750	1699	1889	0	164	4641	679	143	360
HVO_RS09725	NC_013967.1	954615	956723	-	2109	2518	14364	15043	14705	7	1216	55989	1199	910	3704
HVO_RS09730	NC_013967.1	956966	957649	+	684	2459	2431	2406	2462	1	270	4209	2226	442	444
HVO_RS09735	NC_013967.1	957649	958740	+	1092	2332	2986	2894	3263	2	270	4904	1948	738	407
HVO_RS09740	NC_013967.1	958762	959244	-	483	337	665	699	676	1	52	951	241	115	116
HVO_RS09745	NC_013967.1	959346	960302	-	957	2240	1604	1747	2666	2	121	1418	2953	862	311
HVO_RS09750	NC_013967.1	960564	960842	+	279	663	803	801	1123	0	57	1613	534	243	158
HVO_RS09755	NC_013967.1	960843	962114	+	1272	4918	5604	5767	6212	2	409	10635	4265	1193	865
HVO_RS09760	NC_013967.1	962244	962924	+	681	883	1250	1336	1161	1	80	2165	1498	141	259
HVO_RS09765	NC_013967.1	962924	964585	+	1662	1213	1567	1722	1523	1	82	2161	1510	217	235
HVO_RS09770	NC_013967.1	964613	966217	-	1605	1479	2957	3065	3094	1	210	3177	1962	323	385
HVO_RS09775	NC_013967.1	966335	967672	-	1338	5515	5350	5412	5783	1	310	5756	4570	1040	675
HVO_RS09780	NC_013967.1	967758	968300	-	543	1308	1457	1394	1814	1	51	1106	2650	465	177
HVO_RS09785	NC_013967.1	968419	969378	+	960	172	147	109	145	0	15	224	87	38	16
HVO_RS09790	NC_013967.1	969459	970238	+	780	766	1148	1145	1352	0	142	2945	1142	294	195
HVO_RS09795	NC_013967.1	970333	971493	+	1161	2358	1690	1730	1867	2	124	2754	5587	627	263
HVO_RS09800	NC_013967.1	971509	971904	-	396	832	904	1007	1262	2	80	1631	897	123	151
HVO_RS09805	NC_013967.1	971901	972194	-	294	470	717	770	1001	0	53	890	303	105	93
HVO_RS09810	NC_013967.1	972187	972789	-	603	1215	1827	2042	2695	2	123	2222	724	175	311
HVO_RS09815	NC_013967.1	972789	974486	-	1698	2893	4330	4582	5777	3	319	5677	1721	487	495
HVO_RS09820	NC_013967.1	974483	974824	-	342	757	1209	1308	1474	1	97	1317	425	110	232
HVO_RS09825	NC_013967.1	974821	975294	-	474	692	1073	1194	1021	0	88	1475	494	79	151
HVO_RS09830	NC_013967.1	975291	977696	-	2406	5564	8026	8618	9779	2	599	9814	4578	704	1163
HVO_RS09835	NC_013967.1	977936	978274	+	339	337	344	337	472	0	23	735	398	94	69
HVO_RS09840	NC_013967.1	978529	978930	+	402	1951	766	779	1022	0	72	1506	1920	483	141
HVO_RS09845	NC_013967.1	979089	979655	+	567	3976	5478	5579	6162	3	416	13586	4099	886	1565
HVO_RS09850	NC_013967.1	979756	980430	+	675	2540	1940	2022	2147	3	170	3194	2404	752	310
HVO_RS09855	NC_013967.1	980512	981357	+	846	1777	1075	1152	1377	1	76	1315	1644	421	174
HVO_RS09860	NC_013967.1	981367	981666	-	300	296	193	188	281	0	13	373	356	79	43
HVO_RS09865	NC_013967.1	981781	982749	+	969	5732	4112	4406	4512	3	255	5443	7248	1096	631
HVO_RS09870	NC_013967.1	982791	983513	-	723	1044	842	965	1078	0	94	1782	967	272	189
HVO_RS09880	NC_013967.1	984665	985642	-	978	3075	5715	6187	8616	2	881	5473	2866	860	858
HVO_RS09885	NC_013967.1	985780	986346	-	567	6316	7176	7357	9035	9	271	3869	3324	1108	1355
HVO_RS09890	NC_013967.1	986514	986858	-	345	757	838	864	933	2	88	1600	1085	284	139
HVO_RS09895	NC_013967.1	986942	987574	-	633	1460	1405	1444	1103	1	204	3395	2926	1303	527
HVO_RS09900	NC_013967.1	987571	988644	-	1074	478	591	581	468	2	243	2582	9107	1946	746
HVO_RS09905	NC_013967.1	988974	990365	-	1392	1382	3643	3803	2880	7	679	18920	2732	845	1269
HVO_RS09910	NC_013967.1	990555	992132	+	1578	2156	6388	6625	5129	4	748	40160	1782	644	2847
HVO_RS09915	NC_013967.1	992246	993001	+	756	67	388	428	360	0	27	1280	94	31	161
HVO_RS09920	NC_013967.1	993047	993472	+	426	678	701	647	1418	1	27	798	1339	387	66
HVO_RS09925	NC_013967.1	993598	996114	+	2517	4699	3966	4137	5410	6	308	8837	4814	1403	653
HVO_RS09930	NC_013967.1	996181	996933	+	753	772	367	363	451	2	41	688	740	128	48
HVO_RS09935	NC_013967.1	996959	997312	+	354	1664	1444	1455	1588	3	119	2036	1500	134	296
HVO_RS09940	NC_013967.1	997547	998305	-	759	6764	8161	8648	8116	4	823	9626	5624	987	1570
HVO_RS09945	NC_013967.1	998312	998791	-	480	774	737	721	762	0	55	1023	895	197	99
HVO_RS09950	NC_013967.1	998801	999427	-	627	976	838	855	963	0	69	1231	1041	178	132
HVO_RS09955	NC_013967.1	999411	1000106	-	696	750	862	875	974	1	72	923	799	162	101
HVO_RS09960	NC_013967.1	1000245	1000799	-	555	2686	2852	2790	3404	3	148	1115	3565	509	213
HVO_RS09965	NC_013967.1	1000850	1001947	-	1098	775	549	604	566	2	85	738	1266	180	89
HVO_RS09970	NC_013967.1	1001944	1002810	-	867	406	425	427	479	1	49	531	997	133	59
HVO_RS09975	NC_013967.1	1002831	1004078	-	1248	1176	973	992	993	2	111	960	1967	318	137
HVO_RS09980	NC_013967.1	1004075	1004917	-	843	701	499	535	501	3	67	547	1569	143	80
HVO_RS09985	NC_013967.1	1004914	1005675	-	762	657	436	410	444	1	47	418	938	143	64
HVO_RS09990	NC_013967.1	1005672	1006589	-	918	1405	663	737	689	2	69	751	1688	148	132
HVO_RS09995	NC_013967.1	1006980	1007477	+	498	710	867	855	866	2	49	1016	795	154	105
HVO_RS10000	NC_013967.1	1007487	1008407	-	921	2034	2439	2566	2795	3	109	1838	1870	366	228
HVO_RS20905	NC_013967.1	1008495	1008662	-	168	173	128	124	203	0	25	495	170	38	27
HVO_RS10005	NC_013967.1	1008781	1009260	+	480	324	574	522	605	0	66	974	220	74	113
HVO_RS10010	NC_013967.1	1009657	1010955	-	1299	424	386	390	448	1	25	394	601	51	59
HVO_RS10020	NC_013967.1	1011599	1012627	-	1029	1251	1244	1383	1247	0	87	1575	1041	202	194
HVO_RS10025	NC_013967.1	1012676	1012900	-	225	950	615	736	633	1	75	945	571	138	95
HVO_RS10030	NC_013967.1	1012900	1013178	-	279	515	544	547	665	0	62	966	593	109	90
HVO_RS10035	NC_013967.1	1013275	1014423	-	1149	6563	7151	7727	6283	1	537	12937	10639	948	1293
HVO_RS10040	NC_013967.1	1014484	1015578	+	1095	1010	586	591	699	0	64	967	450	150	104
HVO_RS10045	NC_013967.1	1015575	1017005	+	1431	1550	986	973	1324	1	91	2158	831	478	133
HVO_RS10050	NC_013967.1	1017090	1018259	+	1170	1206	549	581	578	0	47	608	1499	214	105
HVO_RS10055	NC_013967.1	1018346	1019044	+	699	886	369	511	703	0	20	473	1558	223	63
HVO_RS10060	NC_013967.1	1019071	1019271	-	201	758	313	307	475	0	9	363	1851	193	41
HVO_RS10065	NC_013967.1	1019271	1019618	-	348	729	256	251	518	0	17	328	1309	206	64
HVO_RS10070	NC_013967.1	1019803	1020444	+	642	3523	1895	1943	2753	6	73	2386	3072	1189	364
HVO_RS21405	NC_013967.1	1020539	1020673	+	135	921	598	632	945	5	23	974	1134	177	109
HVO_RS10075	NC_013967.1	1020707	1021228	-	522	1879	1709	1804	2645	2	99	2395	2084	636	263
HVO_RS10080	NC_013967.1	1021302	1021658	+	357	1357	1000	1054	2365	0	35	1487	2380	804	191
