# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2019_counts.txt" "dpyrE2-4hmfe-2_S5_sorted.bam" "dpyrE2-4hmfe-4_S9_sorted.bam" "dpyrE2-4hmfe-5_S18_sorted.bam" "dpyrE2-4hpfe-2_S2_sorted.bam" "dpyrE2-4hpfe-4_S16_sorted.bam" "dpyrE2-4hpfe-5_S12_sorted.bam" "dtbsP-4hmfe-2_S40_sorted.bam" "dtbsP-4hmfe-5_S46_sorted.bam" "dtbsP-4hmfe-6_S52_sorted.bam" "dtbsP-4hpfe-2_S38_sorted.bam" "dtbsP-4hpfe-5_S43_sorted.bam" "dtbsP-4hpfe-6_S49_sorted.bam" "dtrmB-4hmfe-1_S24_sorted.bam" "dtrmB-4hmfe-5_S30_sorted.bam" "dtrmB-4hmfe-6_S36_sorted.bam" "dtrmB-4hpfe-1_S21_sorted.bam" "dtrmB-4hpfe-5_S27_sorted.bam" "dtrmB-4hpfe-6_S33_sorted.bam" "dtrmBdtbsP-4hmfe-2_S56_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_sorted.bam" "dtrmBdtbsP-4hmfe-6_S72_sorted.bam" "dtrmBdtbsP-4hpfe-2_S54_sorted.bam" "dtrmBdtbsP-4hpfe-5_S65_sorted.bam" "dtrmBdtbsP-4hpfe-6_S69_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_sorted.bam	dpyrE2-4hmfe-4_S9_sorted.bam	dpyrE2-4hmfe-5_S18_sorted.bam	dpyrE2-4hpfe-2_S2_sorted.bam	dpyrE2-4hpfe-4_S16_sorted.bam	dpyrE2-4hpfe-5_S12_sorted.bam	dtbsP-4hmfe-2_S40_sorted.bam	dtbsP-4hmfe-5_S46_sorted.bam	dtbsP-4hmfe-6_S52_sorted.bam	dtbsP-4hpfe-2_S38_sorted.bam	dtbsP-4hpfe-5_S43_sorted.bam	dtbsP-4hpfe-6_S49_sorted.bam	dtrmB-4hmfe-1_S24_sorted.bam	dtrmB-4hmfe-5_S30_sorted.bam	dtrmB-4hmfe-6_S36_sorted.bam	dtrmB-4hpfe-1_S21_sorted.bam	dtrmB-4hpfe-5_S27_sorted.bam	dtrmB-4hpfe-6_S33_sorted.bam	dtrmBdtbsP-4hmfe-2_S56_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_sorted.bam	dtrmBdtbsP-4hmfe-6_S72_sorted.bam	dtrmBdtbsP-4hpfe-2_S54_sorted.bam	dtrmBdtbsP-4hpfe-5_S65_sorted.bam	dtrmBdtbsP-4hpfe-6_S69_sorted.bam
HVO_RS09740	NC_013967.1	958762	959244	-	483	337	165	437	665	699	676	166	1	52	951	921	1155	368	241	278	1398	1287	1006	89	115	477	23	1597	311
HVO_RS09745	NC_013967.1	959346	960302	-	957	2241	931	2734	1599	1744	2668	580	2	122	1415	1527	2988	4151	2950	3102	2352	2022	1818	630	862	5694	195	8907	888
HVO_RS09750	NC_013967.1	960564	960842	+	279	663	218	724	803	801	1123	273	0	57	1614	1429	1539	593	534	389	1303	1863	1386	137	243	1297	34	1647	380
HVO_RS09755	NC_013967.1	960843	962114	+	1272	4920	1271	6169	5606	5768	6215	1496	2	409	10634	10146	11686	4837	4268	3344	8631	11652	9484	1054	1194	3809	236	13188	2396
HVO_RS09760	NC_013967.1	962244	962924	+	681	885	323	1094	1250	1336	1162	428	1	80	2166	2178	2797	1933	1498	1209	2155	2702	2252	212	141	842	81	2658	656
HVO_RS09765	NC_013967.1	962924	964585	+	1662	1213	312	1504	1567	1724	1525	376	1	82	2161	2064	3147	1924	1510	1017	2280	2838	2240	237	217	983	63	2674	599
HVO_RS09770	NC_013967.1	964613	966217	-	1605	1481	622	1853	2957	3067	3096	650	1	210	3177	3161	4664	2408	1962	1409	4305	4699	3680	285	323	1668	86	5176	1115
HVO_RS09775	NC_013967.1	966335	967672	-	1338	5519	1434	6512	5352	5412	5785	1278	1	310	5756	5668	8530	6693	4572	3793	6628	7412	6052	1141	1041	4286	242	11975	1823
HVO_RS09780	NC_013967.1	967758	968300	-	543	1307	474	1521	1457	1394	1816	263	1	52	1106	1013	2347	3919	2650	2046	1570	1956	1560	372	465	2301	111	3753	532
HVO_RS09785	NC_013967.1	968419	969378	+	960	172	45	188	147	109	145	32	0	15	224	233	203	147	87	96	301	191	175	37	38	114	10	508	60
HVO_RS09790	NC_013967.1	969459	970238	+	780	766	332	963	1148	1144	1353	306	0	142	2944	2941	2603	1685	1142	890	2639	2777	2191	246	295	1015	67	3588	648
HVO_RS09795	NC_013967.1	970333	971493	+	1161	2359	486	2757	1690	1730	1867	537	2	124	2755	2583	3243	7556	5590	4074	2966	2939	2415	583	628	2098	111	4614	649
HVO_RS09800	NC_013967.1	971509	971904	-	396	832	254	997	904	1007	1263	207	2	80	1631	1547	2003	1002	897	659	2122	1902	1610	132	123	591	56	2326	385
HVO_RS09805	NC_013967.1	971901	972194	-	294	471	178	639	717	770	1002	179	0	53	890	919	1275	320	303	256	956	1257	1075	90	105	441	32	1465	257
HVO_RS09810	NC_013967.1	972187	972789	-	603	1216	574	1602	1829	2042	2696	417	2	123	2222	2294	3058	692	725	570	1989	3132	2598	322	175	1437	172	3477	873
HVO_RS09815	NC_013967.1	972789	974486	-	1698	2894	797	3544	4330	4582	5778	699	3	318	5676	5609	7510	1859	1722	1173	5093	8107	6637	373	487	1829	112	8396	1364
HVO_RS09820	NC_013967.1	974483	974824	-	342	757	520	936	1209	1309	1477	351	1	97	1317	1401	1883	437	425	361	1375	2135	1674	215	110	689	149	2185	671
HVO_RS09825	NC_013967.1	974821	975294	-	474	693	259	833	1073	1194	1022	224	0	88	1475	1568	1967	518	494	381	1377	2089	1768	116	79	379	45	2234	468
HVO_RS09830	NC_013967.1	975291	977696	-	2406	5564	2014	6587	8027	8622	9791	1675	2	599	9815	10177	13534	4917	4581	3430	11794	14910	12780	982	704	3816	432	15467	3446
HVO_RS09835	NC_013967.1	977936	978274	+	339	337	103	395	344	337	472	119	0	23	735	657	814	419	399	319	875	681	642	49	94	540	32	1175	162
HVO_RS09840	NC_013967.1	978529	978930	+	402	1950	245	2472	766	779	1022	274	0	73	1506	1465	1663	2716	1920	2040	2311	1716	1166	243	483	1940	86	3582	331
HVO_RS09845	NC_013967.1	979089	979655	+	567	3982	1450	4878	5478	5577	6168	1830	3	416	13587	13967	13508	5554	4099	3387	13638	14463	13731	1134	885	6096	768	13688	4355
HVO_RS09850	NC_013967.1	979756	980430	+	675	2538	1085	3054	1939	2020	2147	499	3	169	3193	2854	4139	3120	2406	2383	5026	3270	2809	839	751	3700	192	13075	765
HVO_RS09855	NC_013967.1	980512	981357	+	846	1777	466	2165	1075	1152	1377	325	1	76	1317	1362	1871	2020	1646	1396	1624	1740	1353	448	421	2062	104	3826	471
HVO_RS09860	NC_013967.1	981367	981666	-	300	296	57	343	193	186	282	68	0	13	373	370	502	503	356	248	452	491	379	48	79	308	15	860	86
HVO_RS09865	NC_013967.1	981781	982749	+	969	5734	1829	6791	4112	4407	4515	1250	3	255	5443	5563	8306	9279	7250	6091	6867	7188	5842	1531	1096	5989	357	11066	1783
HVO_RS09870	NC_013967.1	982791	983513	-	723	1044	238	1296	842	965	1078	339	0	94	1782	1798	2255	996	971	832	2652	1880	1665	264	272	1177	87	3710	474
HVO_RS09880	NC_013967.1	984665	985642	-	978	3075	2549	3625	5717	6186	8627	1706	2	881	5472	5819	9306	3884	2867	1793	17758	7959	5595	1129	860	7002	201	17794	2295
HVO_RS09885	NC_013967.1	985780	986346	-	567	6317	3998	7603	7176	7355	9050	2530	9	271	3870	4243	8324	4452	3324	3271	10822	11540	7422	1347	1109	9696	525	22420	3508
HVO_RS09890	NC_013967.1	986514	986858	-	345	757	291	911	839	864	935	221	2	88	1601	1420	1842	1326	1085	1035	3475	1865	1528	217	285	919	55	4298	435
HVO_RS09895	NC_013967.1	986942	987574	-	633	1460	639	1687	1405	1444	1105	329	1	204	3395	3238	2960	5414	2927	4193	5880	4702	3599	1222	1303	5695	269	8887	1479
HVO_RS09900	NC_013967.1	987571	988644	-	1074	478	229	598	591	581	468	96	2	243	2582	2437	2595	13469	9110	7997	5799	7584	6185	2337	1949	8933	452	8634	2140
HVO_RS09905	NC_013967.1	988974	990365	-	1392	1382	801	1683	3641	3802	2881	607	7	679	18908	18298	16263	3878	2734	3534	16936	15645	12558	998	845	3221	254	14623	3315
HVO_RS09910	NC_013967.1	990555	992132	+	1578	2158	933	2520	6390	6625	5136	814	4	748	40167	40325	37476	2447	1784	1894	14374	29400	23495	952	644	2831	358	22633	7753
HVO_RS09915	NC_013967.1	992246	993001	+	756	67	70	91	388	428	360	47	0	27	1280	1349	1873	101	94	90	689	1487	1001	42	31	154	25	1047	374
HVO_RS09920	NC_013967.1	993047	993472	+	426	678	294	782	701	647	1419	247	1	27	798	662	1117	1845	1338	984	742	1284	808	105	388	1103	34	1878	185
HVO_RS09925	NC_013967.1	993598	996114	+	2517	4706	1063	5441	3970	4137	5417	1172	6	308	8839	8280	8760	6329	4816	3543	5538	8223	6505	1076	1403	4266	236	13496	1870
HVO_RS09930	NC_013967.1	996181	996933	+	753	772	99	809	367	363	451	111	2	41	688	632	802	948	740	546	828	725	583	114	128	353	26	1963	155
HVO_RS09935	NC_013967.1	996959	997312	+	354	1667	628	2001	1444	1455	1592	573	3	119	2036	2362	2219	1950	1500	1459	3773	2439	2822	428	134	1778	224	5223	888
HVO_RS09940	NC_013967.1	997547	998305	-	759	6767	3949	8399	8161	8648	8125	3010	4	823	9626	9823	13768	6536	5627	4879	15564	14456	12304	2079	986	6083	1126	34077	4377
HVO_RS09945	NC_013967.1	998312	998791	-	480	775	157	918	737	721	764	203	0	55	1023	1046	1288	994	897	616	1348	1542	1290	140	197	534	41	2279	272
HVO_RS09950	NC_013967.1	998801	999427	-	627	976	247	1147	839	855	963	264	0	69	1232	1276	1566	1360	1040	794	1534	1828	1511	199	179	880	65	3030	370
HVO_RS09955	NC_013967.1	999411	1000106	-	696	749	187	943	862	876	973	191	1	72	923	828	1335	1033	799	687	1819	1374	1216	163	162	558	46	2673	196
HVO_RS09960	NC_013967.1	1000245	1000799	-	555	2687	847	3171	2852	2790	3404	653	3	148	1114	1083	3294	4619	3569	2729	3155	3492	2725	449	509	2171	106	4489	578
HVO_RS09965	NC_013967.1	1000850	1001947	-	1098	775	198	985	549	604	566	148	2	85	738	734	866	1588	1266	1020	1239	903	789	260	182	519	59	3246	212
HVO_RS09970	NC_013967.1	1001944	1002810	-	867	406	133	547	425	427	482	116	1	49	531	525	758	1115	998	742	725	678	583	121	133	400	47	1771	172
HVO_RS09975	NC_013967.1	1002831	1004078	-	1248	1176	286	1460	973	992	993	259	2	111	960	861	1367	2489	1969	1542	1592	1335	1154	316	318	1010	93	3832	311
HVO_RS09980	NC_013967.1	1004075	1004917	-	843	701	197	780	499	535	501	170	3	67	547	525	855	1752	1571	1039	848	800	701	185	143	578	51	2315	225
HVO_RS09985	NC_013967.1	1004914	1005675	-	762	657	196	816	436	410	444	128	1	47	418	406	630	1158	938	901	919	627	516	213	143	469	82	2136	140
HVO_RS09990	NC_013967.1	1005672	1006589	-	918	1405	445	1580	663	737	689	281	2	69	751	817	1161	1835	1689	1846	1729	1194	1108	438	148	989	217	4191	342
HVO_RS09995	NC_013967.1	1006980	1007477	+	498	710	287	837	868	855	866	248	2	49	1016	1045	1438	903	796	607	1655	1557	1203	143	154	879	51	1983	332
HVO_RS10000	NC_013967.1	1007487	1008407	-	921	2034	568	2348	2439	2567	2797	537	3	109	1838	1804	3641	2449	1874	1572	3115	3894	2895	273	367	1353	83	4404	604
HVO_RS20905	NC_013967.1	1008495	1008662	-	168	173	15	181	128	124	203	53	0	25	495	466	428	156	170	116	373	437	516	21	38	119	19	345	65
HVO_RS10005	NC_013967.1	1008781	1009260	+	480	324	114	384	574	522	605	193	0	66	974	926	932	311	220	240	1322	1053	1055	81	74	344	44	1877	311
HVO_RS10010	NC_013967.1	1009657	1010955	-	1299	398	144	427	381	388	452	128	1	26	404	402	521	652	591	564	954	569	481	88	58	455	30	886	157
HVO_RS10020	NC_013967.1	1011599	1012627	-	1029	1251	320	1551	1244	1383	1248	352	0	87	1575	1605	2306	1266	1041	823	2939	2368	1955	270	202	1029	87	3802	492
HVO_RS10025	NC_013967.1	1012676	1012900	-	225	952	214	1061	615	736	633	205	1	75	945	932	1073	777	571	545	1583	1277	1132	198	138	673	47	2377	327
HVO_RS10030	NC_013967.1	1012900	1013178	-	279	515	129	634	545	548	665	176	0	62	968	1009	1206	725	595	509	1034	1257	1137	149	109	439	39	1697	337
HVO_RS10035	NC_013967.1	1013275	1014423	-	1149	6566	1633	7980	7153	7728	6286	2459	1	537	12939	12916	13603	11653	10641	7544	12521	15004	13454	1430	948	5374	454	13032	4070
HVO_RS10040	NC_013967.1	1014484	1015578	+	1095	1012	209	1142	586	592	704	196	0	64	967	930	1223	546	454	456	1316	1130	1038	161	150	632	65	1630	262
HVO_RS10045	NC_013967.1	1015575	1017005	+	1431	1550	326	1887	986	973	1327	294	1	91	2158	1862	2319	943	831	834	1707	2035	1797	344	478	1178	76	2993	396
HVO_RS10050	NC_013967.1	1017090	1018259	+	1170	1204	190	1511	551	583	581	127	0	48	611	666	1084	2097	1504	1257	1010	930	734	250	213	799	31	3408	228
HVO_RS10055	NC_013967.1	1018346	1019044	+	699	886	209	1129	369	511	704	235	0	20	473	425	772	2045	1558	1366	547	735	537	173	223	949	39	1755	191
HVO_RS10060	NC_013967.1	1019071	1019271	-	201	758	134	917	314	307	476	226	0	9	363	354	641	2144	1851	1325	289	581	442	108	193	767	28	626	147
HVO_RS10065	NC_013967.1	1019271	1019618	-	348	729	129	809	256	251	520	210	0	17	328	323	579	2016	1311	1064	261	568	397	111	206	952	30	493	154
HVO_RS10070	NC_013967.1	1019803	1020444	+	642	3524	769	4011	1895	1943	2758	797	6	73	2388	2336	3514	5580	3075	3196	1655	3591	2527	456	1189	3703	121	3021	970
HVO_RS21405	NC_013967.1	1020539	1020673	+	135	916	177	1072	598	631	943	204	4	23	974	932	1452	1566	1134	1009	600	1226	1002	125	177	794	30	1258	304
HVO_RS10075	NC_013967.1	1020707	1021228	-	522	1879	585	2107	1710	1804	2648	727	2	99	2395	2291	3325	2983	2084	1723	1930	3374	2652	375	636	2243	116	4307	795
HVO_RS10080	NC_013967.1	1021302	1021658	+	357	1358	521	1608	1000	1056	2366	830	0	35	1489	1495	1998	2586	2384	1444	770	2004	1849	251	804	3548	57	2022	551
HVO_RS10085	NC_013967.1	1021655	1022863	+	1209	6415	1899	7675	5205	5291	9474	2791	4	151	6314	6373	10062	13367	11111	7023	3764	9454	7575	959	2107	10198	249	10453	1954
HVO_RS10090	NC_013967.1	1022943	1023128	+	186	466	183	562	377	398	605	181	1	22	523	561	839	618	454	409	679	751	604	157	90	793	30	1677	213
HVO_RS10095	NC_013967.1	1023195	1024244	-	1050	4965	1097	5858	3144	3502	3794	1039	0	299	5880	6108	6430	7778	6390	4898	6590	6685	5601	1472	914	4288	361	18766	1714
HVO_RS10100	NC_013967.1	1024386	1024670	+	285	295	76	359	306	347	369	112	0	29	536	506	617	344	267	250	696	701	528	54	47	399	21	897	195
HVO_RS10105	NC_013967.1	1024689	1026173	-	1485	4831	1122	5670	3943	4081	4161	1337	2	298	6604	6494	7932	8455	6408	5231	6671	7380	6201	1142	1196	5174	276	12357	1999
HVO_RS10110	NC_013967.1	1026290	1028068	-	1779	789	850	1036	1133	1211	1559	730	6	275	2791	2659	2898	1732	1301	1727	3012	1889	1400	431	1259	5389	87	11476	546
HVO_RS10115	NC_013967.1	1028135	1028629	-	495	513	53	577	323	318	301	97	0	13	456	332	540	990	726	388	469	656	605	77	169	368	12	705	82
HVO_RS10120	NC_013967.1	1028819	1029697	+	879	980	317	1218	1049	1151	1346	379	1	39	1694	1718	2228	1215	943	864	1155	2314	1841	235	246	1011	72	2018	611
HVO_RS10125	NC_013967.1	1029697	1030869	+	1173	2627	653	3092	3016	3091	3279	680	2	177	3606	3605	4952	4723	3611	2743	3779	5095	3850	430	922	2536	108	5079	916
HVO_RS10130	NC_013967.1	1030927	1031508	-	582	12467	3284	14699	9445	9350	11669	2931	1	395	8989	8534	12394	26069	18347	13842	11039	13182	10582	2743	5919	23223	366	12385	2602
HVO_RS10135	NC_013967.1	1031564	1031749	-	186	2956	893	3427	3040	3128	3574	873	1	169	4970	5205	6397	4119	3100	2563	9938	6838	5813	444	666	4299	141	7131	1686
HVO_RS10140	NC_013967.1	1031858	1033189	-	1332	6211	1462	7531	12945	13623	12160	2025	3	1102	35617	34046	39779	6985	5838	4106	22095	38913	33928	1208	1274	4641	627	29121	7867
HVO_RS10145	NC_013967.1	1033423	1033728	+	306	7582	3964	9596	9845	10932	13551	4585	4	1170	16095	17967	17789	4551	4103	3838	26810	18453	17194	1549	1226	10989	766	21023	5408
HVO_RS10150	NC_013967.1	1033994	1036267	-	2274	18050	4790	21166	12091	12041	10646	2998	16	1014	22369	21642	30571	7909	6577	7626	16774	23784	20464	5194	5846	19785	1645	36893	7381
HVO_RS10155	NC_013967.1	1036430	1037335	+	906	3067	736	3398	2271	2308	2332	537	1	102	2398	2356	4210	7650	5759	3815	3093	3406	2890	668	991	3818	148	3938	659
HVO_RS10160	NC_013967.1	1037336	1038160	-	825	249	63	280	175	172	261	41	0	11	202	147	300	679	520	329	193	281	212	60	149	251	7	644	45
HVO_RS10165	NC_013967.1	1038438	1040096	+	1659	1114	208	1348	765	843	852	236	4	84	1556	1324	1881	1041	842	700	2149	1777	1377	229	198	676	55	3573	342
HVO_RS10170	NC_013967.1	1040246	1041094	-	849	9157	2246	11346	8987	9340	10063	2611	4	698	15726	17305	18517	6813	6301	4746	17158	18217	15602	1910	1300	8819	569	21805	4679
HVO_RS10175	NC_013967.1	1041315	1042391	-	1077	10805	3208	13021	9187	9749	9764	2097	10	624	9079	8784	15077	17395	11670	10439	17057	14977	12334	2537	2102	9786	542	30208	3438
HVO_RS10180	NC_013967.1	1042509	1043651	+	1143	9658	3054	11764	4376	4728	8502	2404	2	48	1295	1399	2323	2013	2159	2360	1432	3934	2414	2225	2098	11884	74	2621	670
HVO_RS10185	NC_013967.1	1043654	1043977	-	324	841	145	1047	506	517	798	222	0	9	263	273	444	294	345	293	333	529	386	91	184	728	19	392	108
HVO_RS10190	NC_013967.1	1044118	1044393	+	276	170	62	217	219	301	284	77	0	20	527	497	567	225	199	172	734	540	521	49	47	227	6	659	113
HVO_RS10195	NC_013967.1	1044422	1045093	-	672	691	182	823	989	978	1149	239	0	63	1916	1662	2156	547	500	442	2128	1945	1876	128	195	623	32	2105	370
HVO_RS10200	NC_013967.1	1045260	1045706	+	447	2542	647	3047	1381	1494	1610	373	3	110	2330	2409	3222	5213	3974	3195	3700	2769	2389	614	603	2515	214	7040	752
HVO_RS10205	NC_013967.1	1045827	1046489	-	663	2008	5589	2577	18341	19646	18009	6182	11	1260	21453	22690	28383	1894	1683	1897	25280	33983	27157	973	560	3743	1421	28986	11413
HVO_RS10210	NC_013967.1	1046482	1046724	-	243	419	1822	462	5324	5542	6229	1977	2	372	6823	6911	8726	320	243	369	3898	10542	8658	330	173	1125	1157	7141	3845
HVO_RS10215	NC_013967.1	1046721	1047842	-	1122	1959	4253	2293	23848	24222	24165	4230	7	1569	26076	23785	35567	1931	1584	1347	20418	40004	30224	801	1495	3687	712	27484	8738
HVO_RS10220	NC_013967.1	1047847	1048314	-	468	1379	4520	1707	15549	16258	14513	5372	8	1131	21909	22865	24860	858	778	1065	19084	30821	27671	559	379	2002	882	22446	10136
HVO_RS10225	NC_013967.1	1048559	1048630	+	72	51	12	57	28	39	111	16	1	6	143	119	126	97	249	52	214	231	229	11	15	45	1	165	16
HVO_RS10230	NC_013967.1	1049190	1049582	+	393	4254	2771	5092	5225	5677	5584	1784	1	577	7457	8510	9393	7195	6134	5541	11687	8839	7581	1791	705	7744	523	16734	2998
HVO_RS10240	NC_013967.1	1050964	1052475	+	1512	2477	587	2940	1277	1354	1489	391	0	139	2044	1996	2204	2121	1583	1587	2656	2093	1715	766	514	2195	164	6279	660
HVO_RS10245	NC_013967.1	1052529	1053299	-	771	297	68	375	219	216	267	49	0	28	459	356	452	294	221	204	726	378	313	51	69	303	16	1231	82
HVO_RS10250	NC_013967.1	1053296	1053805	-	510	89	22	110	44	52	70	14	0	9	103	92	132	53	45	32	116	90	85	24	13	77	8	333	23
HVO_RS10255	NC_013967.1	1053802	1054797	-	996	98	42	128	100	104	148	30	0	11	192	165	194	96	66	70	226	163	155	37	43	138	8	505	38
HVO_RS10260	NC_013967.1	1054785	1055420	-	636	70	34	93	81	73	93	21	1	5	123	125	166	49	43	40	103	147	106	21	27	122	11	282	39
HVO_RS10265	NC_013967.1	1055414	1055914	-	501	94	29	90	81	90	105	16	0	10	136	110	155	72	54	50	160	133	137	19	27	173	3	294	57
HVO_RS10270	NC_013967.1	1055914	1057956	-	2043	400	111	476	365	414	410	108	1	32	649	610	862	301	232	257	733	655	572	81	108	589	25	1335	229
HVO_RS10275	NC_013967.1	1057957	1061259	-	3303	994	336	1121	954	967	856	325	1	76	1475	1458	2028	909	780	809	1905	1601	1387	290	274	1461	91	3500	607
HVO_RS10280	NC_013967.1	1061493	1061565	-	73	174	93	212	331	386	351	52	0	63	621	513	1106	309	286	215	3055	727	606	60	82	264	26	1842	110
HVO_RS10285	NC_013967.1	1061644	1061919	-	276	3960	2674	4827	5393	5573	6123	1280	8	1008	9620	9008	14079	4326	3796	3685	42454	10215	9732	1347	1795	9867	365	26442	2424
HVO_RS10290	NC_013967.1	1062179	1062679	+	501	1051	444	1204	954	955	1010	235	4	64	1579	1445	2043	1134	1031	852	2409	1483	1208	212	356	1655	85	3162	364
HVO_RS10295	NC_013967.1	1062761	1063573	+	813	1745	692	2112	2921	3392	2347	660	0	204	2998	3026	6251	2341	1931	1755	4867	5104	4367	562	215	1949	232	8250	1587
HVO_RS10300	NC_013967.1	1063656	1064564	-	909	3467	1487	4042	5563	5979	6161	1126	4	318	5781	5587	9782	5407	4003	3254	6730	8481	6677	889	1090	5779	377	10666	2352
HVO_RS10305	NC_013967.1	1064561	1064809	-	249	529	148	670	783	794	1234	200	0	31	991	902	1281	1099	874	816	904	1370	908	104	254	1360	34	1211	330
HVO_RS10310	NC_013967.1	1064921	1065196	-	276	172	54	177	226	227	264	61	1	27	452	437	477	206	189	160	531	462	499	37	43	190	11	525	108
HVO_RS10315	NC_013967.1	1065306	1066367	+	1062	2531	837	2980	3822	3900	4179	1104	2	192	5487	5792	6757	3762	2573	2152	4768	6258	5474	546	834	3720	188	6107	1793
HVO_RS10320	NC_013967.1	1066467	1067573	+	1107	1469	293	1857	1353	1509	1533	378	0	191	2723	2579	3034	2250	1963	1336	3807	2977	2590	275	259	1071	88	4944	593
HVO_RS10325	NC_013967.1	1067603	1068031	-	429	1766	843	2020	2352	2272	2435	802	0	165	3423	3224	3424	2203	1447	1773	3450	4042	3410	564	743	2623	141	7577	1174
HVO_RS10330	NC_013967.1	1068092	1068838	-	747	1410	277	1838	1262	1252	1564	399	0	139	2158	2061	2447	1397	1192	892	2797	2382	2153	342	348	1210	72	4434	521
HVO_RS10335	NC_013967.1	1068963	1069910	-	948	3435	1614	3893	4871	5031	5014	1365	1	201	4500	4850	7245	4672	3414	2558	4800	7974	6077	591	640	4946	255	6558	1931
HVO_RS10340	NC_013967.1	1070008	1070550	+	543	464	152	513	652	709	899	194	0	75	1445	1347	1430	618	462	364	1853	1721	1430	103	121	427	27	1722	391
HVO_RS10345	NC_013967.1	1070635	1071165	+	531	1598	1015	1981	2358	2582	3109	859	5	113	3332	3631	4592	1835	1695	1418	3561	4167	3570	476	531	4050	189	5623	1611
HVO_RS10350	NC_013967.1	1071166	1071843	+	678	1861	635	2200	2308	2447	3225	591	1	94	3617	3260	4602	2294	1795	1321	2474	4713	3406	357	857	2251	72	5587	858
HVO_RS10355	NC_013967.1	1071848	1072603	+	756	2637	948	3005	3282	3365	4194	790	1	185	4558	4543	6403	2507	2028	1581	4453	5836	4546	482	923	3380	163	8090	1412
HVO_RS10360	NC_013967.1	1072691	1073383	+	693	834	213	1041	609	604	616	169	1	47	988	884	1084	942	748	643	1236	1098	963	230	207	883	34	2254	197
HVO_RS10365	NC_013967.1	1073681	1074745	+	1065	995	240	1162	971	917	1225	262	1	75	1480	1301	1682	1204	986	720	1387	1682	1331	216	392	881	36	2853	307
HVO_RS10370	NC_013967.1	1074831	1075205	-	375	392	49	445	206	242	229	94	0	10	311	310	388	296	203	198	399	341	283	72	65	510	20	903	98
HVO_RS10375	NC_013967.1	1075523	1076554	+	1032	2667	1352	3387	2958	3110	3918	1308	3	217	4477	4575	4842	4058	3114	2658	4202	4346	3492	791	577	4057	161	5722	1593
HVO_RS10380	NC_013967.1	1076674	1077132	+	459	313	109	373	475	579	473	100	1	23	373	406	656	1030	677	529	738	809	604	55	53	318	21	679	144
HVO_RS10385	NC_013967.1	1077208	1077651	-	444	323	85	376	281	225	250	61	1	16	372	338	625	3036	2211	1706	699	517	535	114	77	277	29	957	149
HVO_RS10390	NC_013967.1	1077825	1078964	-	1140	720	250	803	1160	1187	1231	229	0	49	1493	1485	2055	1798	1248	761	1370	2000	1664	133	439	1588	79	1886	461
HVO_RS10395	NC_013967.1	1079116	1079298	+	183	810	212	1016	625	652	1151	220	1	23	1420	1289	1358	1036	1005	701	1158	1302	1516	107	187	1151	46	1252	275
HVO_RS10400	NC_013967.1	1079366	1079590	+	225	2489	819	3054	2499	2771	3294	826	3	212	4447	4419	5076	2226	2111	1992	8220	4076	4141	477	833	3654	160	9000	1231
HVO_RS10405	NC_013967.1	1079634	1080065	+	432	2237	789	2701	2208	2348	2383	867	4	192	3772	3652	4148	2517	1971	1790	5362	3860	3404	572	528	2842	227	8973	1139
HVO_RS10410	NC_013967.1	1080508	1080825	+	318	718	222	861	716	767	1009	205	2	50	614	627	1212	843	657	652	1777	1261	871	206	169	925	63	2863	263
HVO_RS10415	NC_013967.1	1080889	1082415	-	1527	36064	12081	43981	28330	29807	37009	9357	4	532	16930	17693	38499	61333	44924	32723	15308	41111	28394	7702	10615	69388	1589	25484	10426
HVO_RS10420	NC_013967.1	1082548	1083267	+	720	1664	442	1999	1302	1380	1774	326	0	54	1146	1173	1483	3636	3283	2212	1273	1922	1662	398	319	1354	74	2956	321
HVO_RS10425	NC_013967.1	1083296	1084135	-	840	1078	3044	1291	7804	8006	12209	243	0	136	696	621	906	45090	38496	26997	3421	12070	8447	459	196	1107	43	1639	215
HVO_RS10435	NC_013967.1	1085587	1086186	+	600	196	73	267	111	128	168	56	0	7	77	85	122	310	248	205	104	118	100	35	43	236	5	166	31
HVO_RS10440	NC_013967.1	1086183	1087307	+	1125	128	30	171	92	108	121	34	0	13	99	102	135	186	134	127	188	135	94	33	47	183	4	379	25
HVO_RS10445	NC_013967.1	1087304	1088110	+	807	223	75	248	262	258	306	83	0	27	338	322	465	391	355	227	533	400	350	60	82	317	17	603	104
HVO_RS10450	NC_013967.1	1088107	1088844	+	738	491	134	570	467	460	614	141	2	32	797	716	1019	715	602	406	1287	967	769	129	178	612	28	2120	150
HVO_RS10455	NC_013967.1	1088887	1089684	-	798	2010	801	2367	1779	1896	3425	700	4	118	3056	2780	4339	2909	2348	2156	3190	3343	2794	516	486	2882	192	7768	828
HVO_RS10460	NC_013967.1	1089724	1090161	-	438	724	311	823	643	599	1743	321	0	34	1032	948	1459	1188	935	874	1128	1200	955	172	410	1389	53	2145	208
