# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2021_counts3.txt" "aGTrmB_D_noglu_24_S42_sorted.bam" "deltadelta_a_glu_S16_sorted.bam" "deltadelta_a_noglu_S35_sorted.bam" "deltadelta_b_glu_S53_sorted.bam" "deltadelta_b_noglu_S36_sorted.bam" "deltadelta_c_glu_S43_sorted.bam" "deltadelta_d_glu_S44_sorted.bam" "deltadelta_d_noglu_S5_sorted.bam" "HVO_ref_RNA_S27_sorted.bam" "tbsP_a_glu_S33_sorted.bam" "tbsP_a_noglu_S24_sorted.bam" "tbsP_b_glu_S2_sorted.bam" "tbsP_b_noglu_S30_sorted.bam" "tbsP_c_glu_S51_sorted.bam" "tbsP_c_noglu_S15_sorted.bam" "tbsP_d_glu_S52_sorted.bam" "tbsP_d_noglu_S31_sorted.bam" "tbsP_e_glu_S3_sorted.bam" "tbsP_e_noglu_S50_sorted.bam" "trmB_a_glu_S4_sorted.bam" "trmB_a_noglu_S32_sorted.bam" "trmB_b_noglu_S25_sorted.bam" "trmB_c_glu_S34_sorted.bam" "trmB_c_noglu_S1_sorted.bam" "WT_a_glu_S39_sorted.bam" "WT_a_noglu_S37_sorted.bam" "WT_b_glu_S13_sorted.bam" "WT_b_noglu_S17_sorted.bam" "WT_c_glu_S18_sorted.bam" "WT_c_noglu_S6_sorted.bam" "WT_d_glu_S19_sorted.bam" "WT_d_noglu_s38_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aGTrmB_D_noglu_24_S42_sorted.bam	deltadelta_a_glu_S16_sorted.bam	deltadelta_a_noglu_S35_sorted.bam	deltadelta_b_glu_S53_sorted.bam	deltadelta_b_noglu_S36_sorted.bam	deltadelta_c_glu_S43_sorted.bam	deltadelta_d_glu_S44_sorted.bam	deltadelta_d_noglu_S5_sorted.bam	HVO_ref_RNA_S27_sorted.bam	tbsP_a_glu_S33_sorted.bam	tbsP_a_noglu_S24_sorted.bam	tbsP_b_glu_S2_sorted.bam	tbsP_b_noglu_S30_sorted.bam	tbsP_c_glu_S51_sorted.bam	tbsP_c_noglu_S15_sorted.bam	tbsP_d_glu_S52_sorted.bam	tbsP_d_noglu_S31_sorted.bam	tbsP_e_glu_S3_sorted.bam	tbsP_e_noglu_S50_sorted.bam	trmB_a_glu_S4_sorted.bam	trmB_a_noglu_S32_sorted.bam	trmB_b_noglu_S25_sorted.bam	trmB_c_glu_S34_sorted.bam	trmB_c_noglu_S1_sorted.bam	WT_a_glu_S39_sorted.bam	WT_a_noglu_S37_sorted.bam	WT_b_glu_S13_sorted.bam	WT_b_noglu_S17_sorted.bam	WT_c_glu_S18_sorted.bam	WT_c_noglu_S6_sorted.bam	WT_d_glu_S19_sorted.bam	WT_d_noglu_s38_sorted.bam
HVO_RS10140	NC_013967.1	1031858	1033189	-	1332	25857	54379	20538	59998	15400	47209	49708	17156	17	66194	32702	59732	30621	62119	22853	61083	24160	49438	29642	68099	15201	22235	36327	18511	34230	18669	43654	22450	30343	34249	45573	22936
HVO_RS10145	NC_013967.1	1033423	1033728	+	306	19426	19914	11970	18090	10565	15554	15825	8505	20	16184	30801	15674	28797	19204	18407	20124	26116	16322	31125	21143	6504	5890	15960	6394	22261	18192	21777	23909	22454	15377	31991	18256
HVO_RS10150	NC_013967.1	1033994	1036267	-	2274	11834	28092	19124	27641	24384	19494	21375	24080	17	25498	26528	25314	25521	25560	20831	26003	27725	22246	31653	29621	11336	16679	21821	11219	26436	18107	24371	24130	24309	20641	40263	21148
HVO_RS10155	NC_013967.1	1036430	1037335	+	906	2367	3801	6979	2845	4906	2146	2466	5251	2	3484	5490	3206	5468	3017	4867	3041	5198	2619	5831	3361	5849	8527	2881	6811	3620	4744	4614	5376	3663	3735	6152	4131
HVO_RS10160	NC_013967.1	1037336	1038160	-	825	293	411	661	261	538	181	157	574	0	170	820	227	790	360	752	272	789	153	833	332	322	848	223	601	425	852	793	885	389	274	846	470
HVO_RS10165	NC_013967.1	1038438	1040096	+	1659	1124	2187	2666	1960	2262	1323	1556	2293	2	1535	2357	1715	2181	2166	2084	1938	2207	1419	2271	2161	1615	2302	1684	1858	1987	1892	2509	1939	1788	1393	3219	1587
HVO_RS10170	NC_013967.1	1040246	1041094	-	849	24312	39154	35298	45722	35769	34922	38365	34084	16	34695	41654	36967	40509	47791	31189	47766	41467	32642	42980	48150	23708	25701	38322	23283	41460	37006	43494	40776	33956	27842	60019	32255
HVO_RS10175	NC_013967.1	1041315	1042391	-	1077	15804	24809	39238	21048	28039	15752	16389	28870	7	18369	29490	19317	30101	22393	35242	20540	32314	15395	33244	21169	30589	37346	19142	30525	23451	32237	22587	31075	20559	17906	38512	23231
HVO_RS10180	NC_013967.1	1042509	1043651	+	1143	5656	1673	16164	2156	21132	1458	1525	15677	6	2708	24191	2359	27849	2094	18465	2075	25001	4068	27816	2141	4334	6511	5200	5839	9688	22621	3324	27968	10483	26261	19256	21852
HVO_RS10185	NC_013967.1	1043654	1043977	-	324	548	1101	391	1103	428	830	781	408	0	727	484	891	519	1053	332	1250	508	541	484	1172	626	747	653	579	726	417	1606	465	596	339	948	358
HVO_RS10190	NC_013967.1	1044118	1044393	+	276	558	1357	1094	1377	926	977	980	967	2	1006	1043	1131	1165	1330	849	1118	1115	925	1083	1143	867	1023	966	932	1145	1041	1047	1139	939	722	1702	947
HVO_RS10195	NC_013967.1	1044422	1045093	-	672	2951	4207	2256	4341	1807	3372	3317	2000	2	3639	3079	3762	3060	4609	2072	4894	2936	2932	3365	4984	2438	3035	3160	2123	3119	2600	5816	2949	2997	2105	4452	2212
HVO_RS10200	NC_013967.1	1045260	1045706	+	447	3332	11555	26395	10604	18510	6990	7049	18837	3	7453	14199	8455	14111	11959	14999	9641	14883	6937	15654	9775	17891	19889	8810	19496	11006	17490	14431	17697	10100	5842	18837	9896
HVO_RS10205	NC_013967.1	1045827	1046489	-	663	53780	42793	10729	35024	7405	42592	36023	7119	14	50653	20067	37082	20422	29707	16619	36133	14340	41880	16359	43217	16234	13871	39076	13985	40019	13048	30276	11232	32471	31067	43169	14146
HVO_RS10210	NC_013967.1	1046482	1046724	-	243	18896	16057	4041	12586	2370	15380	12393	2267	4	18064	6527	12773	7293	10842	6173	12713	4846	14828	5835	13534	5076	4033	12767	4114	14106	4548	11521	4068	11665	9727	15405	4990
HVO_RS10215	NC_013967.1	1046721	1047842	-	1122	73053	68925	16708	46910	10251	59199	51150	11125	16	70684	34040	59330	30752	47638	25364	49790	21101	64974	23695	71479	19533	22012	49842	20423	60012	20054	52601	16159	50568	46665	72290	21743
HVO_RS10220	NC_013967.1	1047847	1048314	-	468	57907	55979	8880	46246	6389	52377	42216	5951	22	63745	22859	47563	23238	41588	16201	49800	15838	51695	18705	56718	12578	10950	48908	11042	49347	13879	47573	13282	42385	33669	54042	15622
HVO_RS10225	NC_013967.1	1048559	1048630	+	72	2358	4706	2449	4938	1547	4446	3945	981	2	3491	1906	4185	2432	6609	1854	5646	1599	2347	1914	5206	1414	1642	3215	2050	2677	1187	6846	1167	2127	1062	3251	978
HVO_RS10230	NC_013967.1	1049190	1049582	+	393	23932	24851	19525	20592	14442	17378	16972	14187	7	20431	19514	18916	17817	21620	17267	21168	16799	19545	17271	23924	19177	21043	21682	21934	21346	17962	24111	19849	21839	19894	29973	18491
HVO_RS10240	NC_013967.1	1050964	1052475	+	1512	2859	9202	11401	9181	10635	6281	5931	10270	4	6676	9817	7399	9823	10969	8739	9439	10203	5206	10806	9322	5815	7258	6914	6093	8130	9203	13176	8803	6583	4506	12747	6428
HVO_RS10245	NC_013967.1	1052529	1053299	-	771	312	272	190	310	206	190	238	205	0	296	304	310	372	407	271	353	375	202	399	368	190	188	212	167	259	237	365	240	234	178	399	206
HVO_RS10250	NC_013967.1	1053296	1053805	-	510	170	120	95	142	113	82	103	94	0	135	177	145	167	221	165	152	176	66	221	149	83	94	95	64	109	114	146	137	95	84	228	94
HVO_RS10255	NC_013967.1	1053802	1054797	-	996	335	247	137	347	203	157	243	205	0	293	335	270	380	401	296	318	436	153	433	347	84	167	189	114	256	227	298	236	201	184	429	176
HVO_RS10260	NC_013967.1	1054785	1055420	-	636	232	208	149	209	162	136	155	128	0	242	232	206	281	278	252	251	308	156	303	274	80	90	153	75	192	189	214	199	144	137	279	143
HVO_RS10265	NC_013967.1	1055414	1055914	-	501	197	204	184	256	133	160	208	136	0	245	227	191	277	274	259	274	235	139	319	231	79	90	159	78	212	143	214	161	155	125	296	128
HVO_RS10270	NC_013967.1	1055914	1057956	-	2043	1126	1088	686	1345	911	850	1008	804	2	1197	1282	1210	1401	1605	1134	1323	1439	740	1587	1276	389	475	942	351	1113	879	999	954	815	733	1527	732
HVO_RS10275	NC_013967.1	1057957	1061259	-	3303	2201	3180	1794	3447	2141	2368	2820	1982	21	2644	2761	3022	3170	4253	2489	3550	3237	1890	3408	3426	1011	1476	2314	1121	3143	2223	3596	2197	2163	1461	4507	1706
HVO_RS10280	NC_013967.1	1061493	1061565	-	73	1285	977	391	904	291	731	741	167	0	484	355	541	716	1074	478	857	575	505	594	511	316	176	665	277	727	655	1162	682	767	207	1189	361
HVO_RS10285	NC_013967.1	1061644	1061919	-	276	28458	13395	10617	13665	10762	11439	12721	9122	8	12145	12739	12184	14481	13556	10661	13477	13800	12229	14496	14267	7715	7653	11813	7611	13740	14065	10332	16084	13965	11145	20546	13943
HVO_RS10290	NC_013967.1	1062179	1062679	+	501	803	1798	2451	1396	2104	1386	1264	1824	0	1253	1972	1223	2007	2069	2334	1008	2126	931	1978	1195	1084	1165	1385	1154	1637	2537	1073	1702	1093	1537	2473	1501
HVO_RS10295	NC_013967.1	1062761	1063573	+	813	5327	8448	6891	6759	5479	5392	4797	4691	1	5684	5724	5928	5461	7449	6070	5359	3971	5358	4865	6077	4403	6361	6703	5083	7107	3732	4741	2824	6604	4885	10776	3586
HVO_RS10300	NC_013967.1	1063656	1064564	-	909	11236	13252	11152	15698	8422	12959	12862	7753	4	14905	11431	14039	11539	15622	11455	15801	9916	13048	11835	17334	7789	9819	11066	8665	12771	8620	13896	7689	11259	11301	17153	8280
HVO_RS10305	NC_013967.1	1064561	1064809	-	249	3070	3412	1735	3652	1808	3073	3213	1472	2	3249	2374	3204	2680	3688	2098	3756	2180	2848	2640	3727	1532	2122	2463	1926	2903	1803	3551	1693	2593	2247	4095	1727
HVO_RS10310	NC_013967.1	1064921	1065196	-	276	626	1930	774	1962	549	1699	1543	438	0	1424	814	1570	1016	2075	660	2147	862	1184	1052	2028	676	729	1123	639	1510	954	2168	891	1086	744	1878	694
HVO_RS10315	NC_013967.1	1065306	1066367	+	1062	5896	7287	7703	8328	5093	6664	7070	5231	5	8658	6090	7376	6559	6810	4936	8237	6185	6378	7259	8513	5874	6911	5614	5622	6486	4960	6407	5429	5328	5676	7760	4690
HVO_RS10320	NC_013967.1	1066467	1067573	+	1107	3282	11325	7577	12212	5260	9035	9236	5816	2	8713	7778	9771	7699	11814	6205	12527	7600	7400	8225	12894	10312	10844	7576	9268	8409	6529	13145	7409	7816	5033	11741	5803
HVO_RS10325	NC_013967.1	1067603	1068031	-	429	9701	8747	7260	6264	8600	4963	4924	8490	3	6177	9449	6056	10579	5385	7020	4381	7111	6096	8740	5323	8961	12949	5100	10296	6629	8007	4107	7221	5894	7215	12533	6867
HVO_RS10330	NC_013967.1	1068092	1068838	-	747	2874	5160	4608	4724	3452	3701	3887	3651	3	4015	3922	3996	4008	4735	3701	4809	3849	3280	4268	4896	4632	5795	3552	4389	4083	4232	6160	3892	3570	3006	5854	2833
HVO_RS10335	NC_013967.1	1068963	1069910	-	948	3442	4246	5169	4888	3859	3652	4747	3732	2	4029	5159	3941	5694	4233	4310	3939	5248	3561	5807	3958	1808	2701	4153	2177	5019	4718	3302	5223	3366	6838	6273	4441
HVO_RS10340	NC_013967.1	1070008	1070550	+	543	2063	2830	1173	3151	1199	2585	2500	1211	1	2344	1770	2452	1769	2875	1224	2874	1557	2181	1654	2939	1509	1754	2207	1511	2123	1399	2535	1550	1922	1574	3043	1625
HVO_RS10345	NC_013967.1	1070635	1071165	+	531	5802	7857	5573	8004	4964	6289	7150	4525	1	6035	6006	6269	6603	8097	5692	8168	6290	6052	6719	7682	1852	2075	6392	2098	7075	5541	9719	6266	5361	5257	9819	5036
HVO_RS10350	NC_013967.1	1071166	1071843	+	678	6449	8126	6566	8455	5554	6178	6658	5392	5	6136	7132	6782	7546	8185	7210	8288	7270	6329	7733	7839	2619	3462	7048	2628	7286	6174	11053	6749	5744	5758	10673	5584
HVO_RS10355	NC_013967.1	1071848	1072603	+	756	10300	10504	7712	11273	8112	8362	9333	7760	9	8358	9894	9309	10390	11654	9808	11739	10805	8414	10898	10940	4141	4587	9251	3600	9601	8968	15313	10216	8190	7950	14467	8141
HVO_RS10360	NC_013967.1	1072691	1073383	+	693	1806	2764	2554	2381	2453	1838	1738	2154	1	1697	2308	1932	2251	2762	2191	2402	2074	1614	2205	2409	1962	3109	2106	2405	2396	2393	4395	2024	2072	1404	3975	1721
HVO_RS10365	NC_013967.1	1073681	1074745	+	1065	2786	4047	3157	3389	2972	2544	2748	2985	1	2687	4006	3091	4145	3546	3118	3664	4147	2346	4270	4181	3235	5114	2761	3678	3489	3952	5711	3793	3231	2519	5518	2952
HVO_RS10370	NC_013967.1	1074831	1075205	-	375	262	344	267	361	410	230	263	423	0	261	379	272	439	276	301	283	390	144	443	354	201	266	152	241	135	159	207	182	129	126	227	117
HVO_RS10375	NC_013967.1	1075523	1076554	+	1032	3418	6119	5092	6450	4011	5265	5761	4323	15	6650	7335	5742	7149	5217	4289	5873	6554	3712	7294	6389	2323	2893	3715	2571	3816	3673	3501	4335	3158	4190	5046	3633
HVO_RS10380	NC_013967.1	1076674	1077132	+	459	536	873	414	776	378	580	764	374	0	598	607	585	724	626	438	881	641	540	653	800	673	899	862	753	699	562	1032	604	611	742	1176	526
HVO_RS10385	NC_013967.1	1077208	1077651	-	444	448	823	2550	1148	1080	800	877	1323	0	685	611	813	680	2323	1259	1329	849	420	751	1202	2789	3229	537	3013	681	1823	1752	1259	492	242	976	668
HVO_RS10390	NC_013967.1	1077825	1078964	-	1140	1492	1007	433	942	405	907	780	332	0	1080	626	938	642	971	495	1060	685	688	821	1274	286	380	635	311	811	447	942	381	698	497	1048	419
HVO_RS10395	NC_013967.1	1079116	1079298	+	183	2048	4016	5041	2713	4878	2437	2224	3822	4	1751	4323	1865	5780	2538	3967	2740	4762	1998	5858	2305	6535	5329	3016	6294	4007	5721	3727	6905	4180	1929	6431	3479
HVO_RS10400	NC_013967.1	1079366	1079590	+	225	7114	6789	5711	5458	4603	4968	5125	3921	6	4777	5634	4645	7410	5536	5945	4907	5734	5055	6739	4590	5559	4387	5953	5242	7309	6381	7828	6419	7085	4047	11382	5694
HVO_RS10405	NC_013967.1	1079634	1080065	+	432	7713	11988	7874	9989	7093	7907	7557	6612	3	6568	9096	8217	9917	9889	7800	10251	9303	7734	10064	10397	8222	8139	9533	8293	11331	8926	14526	9115	9970	5294	17590	6674
HVO_RS10410	NC_013967.1	1080508	1080825	+	318	1304	5424	2309	4859	2612	3527	3991	1876	1	2683	2896	3884	3059	6619	2738	5408	2682	2353	2715	5676	2866	4507	4130	3825	4219	4061	10796	2659	3095	1516	6681	2377
HVO_RS10415	NC_013967.1	1080889	1082415	-	1527	38640	8412	47435	7922	47818	6323	7351	49542	945	11093	48304	9049	52059	7676	41639	7492	42862	14434	47170	8416	37287	57992	13062	43951	16391	31033	6130	33267	21019	55870	27774	36128
HVO_RS10420	NC_013967.1	1082548	1083267	+	720	2621	5073	8630	3894	7638	2805	2928	7592	2	2220	7118	2793	7706	3402	5778	3801	8006	2598	8206	3888	5491	7048	3835	6651	5205	8204	6544	8465	4442	3285	8640	5277
HVO_RS10425	NC_013967.1	1083296	1084135	-	840	5484	353	761	307	587	214	238	655	6	268	632	233	758	293	469	299	607	8176	616	351	43956	64651	8831	56218	12116	25362	4658	24784	22813	30759	28437	28686
HVO_RS10435	NC_013967.1	1085587	1086186	+	600	127	159	406	153	426	100	80	380	0	87	566	111	721	207	490	209	870	83	787	172	164	298	154	236	233	546	297	549	230	218	380	305
HVO_RS10440	NC_013967.1	1086183	1087307	+	1125	95	165	252	149	217	132	114	204	0	89	218	142	263	236	239	229	289	76	308	180	108	175	136	118	129	261	326	283	95	109	216	150
HVO_RS10445	NC_013967.1	1087304	1088110	+	807	177	237	226	255	182	173	170	166	0	177	188	193	243	277	191	256	244	141	230	210	162	157	174	137	185	221	367	259	182	133	249	152
HVO_RS10450	NC_013967.1	1088107	1088844	+	738	181	294	406	280	341	209	229	386	9	226	376	243	326	346	276	350	383	238	359	331	437	418	266	449	308	378	511	368	305	260	520	316
HVO_RS10455	NC_013967.1	1088887	1089684	-	798	12177	9920	10611	8556	8508	7257	6553	7220	4	6698	9083	7806	9355	10247	9047	8709	9254	5794	9522	9256	6876	8597	7442	7687	9569	9706	12135	8521	7522	4615	14551	6668
HVO_RS10460	NC_013967.1	1089724	1090161	-	438	14951	4017	4054	2527	3931	2296	2021	3745	1	2123	5024	2520	4927	3224	6145	2534	5381	1842	5109	2486	3873	4612	2656	3560	3761	5392	3843	5441	3181	2100	5914	2980
HVO_RS10465	NC_013967.1	1090314	1091456	+	1143	14153	809	11865	1163	16596	754	824	11616	7	1841	31440	1483	36047	1333	16990	1408	26032	4182	31366	1456	3649	5700	5614	4948	9858	22473	3279	29156	14695	38509	20763	30330
HVO_RS10470	NC_013967.1	1091481	1091936	-	456	1371	3055	5019	2687	3731	2223	2065	3668	1	2561	3592	2575	3666	3365	3426	2865	4044	1824	4474	3354	3596	4315	2091	3768	2556	3230	4069	3711	2377	1586	3868	2401
HVO_RS10475	NC_013967.1	1092259	1094385	+	2127	519	723	631	565	546	399	470	495	2	575	784	601	1014	1275	944	768	983	779	758	653	755	1270	1671	870	2317	954	1713	1024	1198	960	2395	736
HVO_RS10480	NC_013967.1	1094484	1095581	-	1098	273	622	793	370	612	279	292	566	1	470	839	475	1055	1556	1729	644	1076	874	727	449	905	1915	2109	1241	3636	1506	2207	1100	2050	965	3939	814
HVO_RS10485	NC_013967.1	1095684	1096214	-	531	409	1006	1281	525	999	406	486	997	1	968	1529	797	1663	2364	2558	850	1738	1661	1304	687	1381	2855	3328	1892	6454	2479	3131	2127	3965	2009	6459	1659
HVO_RS10490	NC_013967.1	1096507	1097016	-	510	80	238	172	141	176	118	89	149	1	227	369	227	392	920	647	290	399	403	271	176	275	478	1043	377	1942	440	849	264	884	408	1881	317
HVO_RS10495	NC_013967.1	1097038	1098225	-	1188	466	1037	751	719	664	591	534	617	0	968	1413	834	1712	2512	2262	1059	1708	1449	1321	839	777	1625	3314	1156	6484	1525	2519	1187	3003	1409	5995	1039
HVO_RS10500	NC_013967.1	1098222	1098590	-	369	437	707	241	579	311	431	400	290	1	497	889	507	1013	914	747	593	881	589	861	594	298	478	1119	405	2061	569	893	521	1088	578	2278	471
HVO_RS10505	NC_013967.1	1098739	1099401	-	663	4355	4620	3357	3986	2909	3235	3273	2853	1	3979	6866	3576	7032	3155	4292	3694	5893	3731	6871	4034	2638	3227	3473	2739	4808	3591	3744	4489	4726	4599	7203	3836
HVO_RS10510	NC_013967.1	1099534	1099872	+	339	6766	3363	4187	3991	4702	3807	4361	3687	6	3422	4966	3641	5207	4515	3975	3665	5211	2592	5296	4208	2690	3124	3273	2897	4037	4532	3597	3491	2465	3526	4928	2731
HVO_RS10515	NC_013967.1	1100086	1100727	+	642	341	1361	952	692	830	960	737	752	1	1413	2095	1172	2713	4730	4675	1422	2586	3015	1560	824	1370	2531	7705	1989	15007	2879	3896	1869	5449	3841	10949	1548
HVO_RS10520	NC_013967.1	1100738	1101400	+	663	228	1466	1321	706	938	952	692	829	3	1479	2419	1210	2949	5053	5444	1453	2758	3148	1651	871	2249	4016	7948	2871	15083	3331	4092	2150	5655	4321	11318	1926
HVO_RS10525	NC_013967.1	1101720	1102460	-	741	5165	7492	10708	8426	10634	6902	7245	10592	3	7170	9892	6674	10098	8404	9626	6784	10019	3223	10710	6663	3848	5035	3823	3587	4018	4994	1925	5464	2480	5326	5648	4802
HVO_RS10530	NC_013967.1	1102755	1104209	+	1455	385	744	583	524	722	316	384	631	1	631	785	546	1068	1483	1186	752	1164	1009	834	531	682	1567	2065	978	3403	1098	1926	1141	1656	1038	3821	798
HVO_RS10535	NC_013967.1	1104193	1104630	+	438	85	182	153	108	147	68	109	139	0	148	176	119	249	320	308	134	253	228	211	118	167	364	470	262	826	273	365	259	447	300	870	165
HVO_RS10540	NC_013967.1	1104631	1105080	+	450	52	78	100	67	84	52	45	101	0	68	95	75	130	227	201	85	152	135	106	63	85	129	250	105	478	135	203	164	253	118	548	99
HVO_RS10545	NC_013967.1	1105077	1105826	+	750	56	157	142	124	165	59	90	143	0	149	181	150	251	350	322	138	279	249	200	106	160	260	461	188	758	279	368	242	454	236	829	195
HVO_RS10550	NC_013967.1	1105827	1107491	+	1665	325	740	515	578	500	359	395	432	185	522	593	502	758	1011	919	594	802	671	654	580	513	642	1313	616	1996	781	1232	740	1169	698	2331	576
HVO_RS10555	NC_013967.1	1107496	1109238	+	1743	215	491	421	475	386	306	355	364	0	485	451	415	548	833	693	579	645	522	515	430	402	481	918	374	1481	588	721	602	786	540	1621	431
HVO_RS10560	NC_013967.1	1109340	1110353	+	1014	208	430	280	432	308	299	333	308	0	419	336	394	441	615	451	500	455	407	411	442	350	391	595	315	866	448	631	403	561	386	1105	365
HVO_RS10565	NC_013967.1	1110429	1110791	+	363	32	59	25	52	46	38	48	24	0	56	47	51	54	68	59	53	56	48	68	52	25	29	65	23	72	61	96	94	51	42	89	63
HVO_RS10570	NC_013967.1	1110849	1111715	-	867	200	237	165	173	170	134	116	154	0	304	245	224	356	534	494	245	361	332	259	191	165	296	745	207	1292	255	436	201	657	326	1432	229
HVO_RS10575	NC_013967.1	1111719	1112561	-	843	266	376	235	291	240	230	218	187	0	359	300	314	399	673	593	414	349	445	289	355	239	418	884	274	1444	277	606	313	867	436	1381	307
HVO_RS10580	NC_013967.1	1112561	1114831	-	2271	733	1025	728	646	657	512	519	611	2	1009	1017	822	1312	1873	1650	925	1196	1411	1007	785	689	1417	2597	918	4941	921	1714	919	2535	1380	4714	902
HVO_RS10585	NC_013967.1	1114834	1115934	-	1101	238	453	311	270	283	199	210	244	0	400	536	321	609	942	790	362	614	733	447	297	351	725	1514	475	2826	495	978	512	1469	677	2829	449
HVO_RS10590	NC_013967.1	1116211	1116657	+	447	238	538	386	310	524	294	269	430	0	575	764	465	841	1805	1252	579	846	1065	610	320	521	917	2221	869	4486	1101	1711	792	2472	897	4346	695
HVO_RS10595	NC_013967.1	1116697	1117185	-	489	74	134	321	91	265	69	56	248	0	53	246	58	308	106	209	86	323	40	305	78	171	257	84	218	96	241	179	261	107	73	202	99
HVO_RS10600	NC_013967.1	1117313	1118905	+	1593	2010	5483	3742	7700	4380	4928	6469	4392	5	6226	4856	6090	5097	9089	4103	8515	5957	4734	6321	7841	1148	919	4340	641	4163	3580	5961	5519	3079	5105	5219	4972
HVO_RS10605	NC_013967.1	1118978	1121443	+	2466	32345	9458	20131	2770	62695	16442	21840	50899	11	28185	42262	30408	36276	32737	24284	17892	22286	34516	28752	20993	23041	28074	21758	19065	24953	31804	8403	13231	21995	20221	37375	25529
HVO_RS20910	NC_013967.1	1121446	1121583	-	138	107	297	310	274	316	157	193	216	0	181	332	191	385	300	290	245	341	156	397	225	237	310	259	311	298	384	561	365	272	182	535	225
HVO_RS10615	NC_013967.1	1122941	1123435	+	495	623	1092	2067	710	1344	822	776	1380	0	779	1249	998	1299	1104	1291	850	1316	697	1613	1217	1059	1909	762	1235	1097	1214	914	1035	763	652	1616	754
HVO_RS10620	NC_013967.1	1123534	1124115	+	582	586	523	1794	440	1571	421	403	1053	1	423	2244	445	2521	581	1783	555	1958	441	2373	518	709	1032	588	857	974	2032	813	2233	919	1977	1707	1970
HVO_RS10625	NC_013967.1	1124201	1124395	+	195	452	487	1872	370	2455	259	306	2399	5	330	5793	362	6268	363	4224	313	6673	388	6349	386	1895	2173	617	2405	1033	8133	562	7635	1021	2051	2253	4071
HVO_RS10630	NC_013967.1	1124517	1126013	-	1497	1237	2115	2690	1617	2035	1124	1125	1851	1	1009	1889	1302	2223	1539	1687	1457	2364	848	2577	1573	1097	2353	1373	1635	1669	1466	2048	1326	1188	882	2718	1053
HVO_RS10635	NC_013967.1	1126063	1126857	-	795	828	3474	3182	2502	2138	2099	1870	1800	1	1810	2654	1911	3070	2787	2900	1954	2329	1482	2750	1771	1364	1947	2460	1545	3109	2833	2441	2308	2114	1992	4390	2068
HVO_RS10640	NC_013967.1	1126927	1128534	-	1608	1166	345	6530	319	9154	229	268	5722	3	376	12658	339	15528	421	10414	348	11419	534	13843	332	1326	2588	933	1940	1992	9844	449	12302	1890	15075	4561	11582
HVO_RS10645	NC_013967.1	1128598	1129554	-	957	92	71	32	85	57	44	31	42	0	35	54	62	56	102	64	85	50	28	47	68	56	127	65	92	47	60	163	50	49	51	94	51
HVO_RS10650	NC_013967.1	1129774	1130748	+	975	2137	3717	5111	2704	4109	2129	2173	3716	1	2025	3764	2129	3890	2596	4029	2207	4134	1817	4231	2259	3335	4470	2529	3777	3283	4988	2784	4546	2554	2478	5257	3167
HVO_RS10655	NC_013967.1	1130792	1131286	+	495	1273	3009	4221	2183	3099	1855	1894	3244	1	2416	3725	2409	3683	2362	3170	2328	3598	2053	3976	2569	4065	4782	1952	3857	2673	3707	2826	4083	2605	2311	4529	2739
HVO_RS10660	NC_013967.1	1131262	1132479	-	1218	2531	9126	5391	9251	4935	5931	6621	4770	1	5556	5974	7028	6333	9829	6382	8428	5827	4929	6399	8021	4271	6207	6257	4406	6960	5879	12430	5729	5524	3684	11534	3914
HVO_RS10665	NC_013967.1	1132536	1133597	-	1062	5375	20595	10928	22443	10466	13985	15831	9584	8	14662	13953	17141	14301	21990	13687	19759	13095	14479	14420	17964	3292	4732	17344	3867	18374	11459	25891	13366	15733	11978	29417	10714
HVO_RS10670	NC_013967.1	1133594	1134265	-	672	4079	17703	10265	18581	9418	12440	13403	8139	4	12724	11027	14181	11564	18059	9813	15466	9988	13466	10993	13915	3795	4292	15303	4811	15955	9389	18516	10569	13300	9966	25765	8428
HVO_RS10675	NC_013967.1	1134411	1135709	+	1299	6194	16653	25205	17165	20957	11102	12349	21433	8	11134	17928	13642	18057	19117	17431	16443	18750	9554	20257	15172	15705	24123	11857	18238	16535	20358	25964	20241	12318	8970	26355	12270
HVO_RS10680	NC_013967.1	1135740	1136432	-	693	2825	4273	8211	3946	5854	2817	2949	5781	1	2829	4870	3165	4814	4255	5296	3862	4384	2586	5173	3903	4829	6803	2855	5491	3665	5353	5112	4889	3242	1924	6167	3139
HVO_RS10685	NC_013967.1	1136432	1137022	-	591	4827	7679	10262	6056	7176	4529	4624	7511	3	4270	7444	5606	6648	6796	7104	5600	5488	4514	6562	6632	6334	10128	4350	8347	6398	7864	8218	6959	5338	3317	10527	4755
HVO_RS10690	NC_013967.1	1137170	1137853	-	684	9175	12401	9684	11682	7555	9749	9362	7401	5	8805	8294	9998	8117	12114	7018	11629	7771	9054	8475	12340	7250	10219	9520	7716	11294	8599	13133	9177	9424	6844	15182	6834
HVO_RS10695	NC_013967.1	1138037	1138414	+	378	2931	3727	4996	2431	3717	1977	1778	3648	3	1631	5647	1990	6077	2015	4232	2487	5903	1884	6250	2823	4007	4453	2742	3862	3830	6305	4387	6170	3970	2465	6537	3778
